WATERBODY_LID,FN2_WBY,WATERBODY_NAME,Type,UTM_DATUM,UTM_ZONE,UTM_NORTHING,UTM_EASTING,LAT,LON,LATITUDE,LONGITUDE,District,FMZ,REGION,SRFAREA,SECCHI,DEPMN,DEPMAX,MEI,TDS,GDD_90_04,Primary_Watershed,Secondary_Watershed,Tertiary_Watershed,Alternate_Name
15-6345-54482,5QA0810,Scotch,Lake,NAD27,15,5448207,634519,491026,910916,49.17,-91.15,,5,NWR,1291.60,3.40,9.2,27.8,1.5,,1593.40,,,,
17-4713-52126,2CF1614,Scotia,Lake,NAD27,17,5212640,471273,470407,812242,47.07,-81.38,,10,NER,827.20,6.90,17.8,63.1,1.9,.,1677.93,,,,
17-4248-51802,2CE0709,Shakwa,Lake,NAD27,17,5180167,424817,464622,815905,46.77,-81.98,,10,NER,648.30,5.90,9.7,27.5,2.5,,1687.60,5,1,,1
17-5265-52901,2JD0612,Shillington,Lake,NAD27,17,5290085,526540,474556,803845,47.77,-80.65,,8,NER,136.00,3.10,11.2,34.7,5.5,.,1589.40,,,,
17-6327-49193,2EC,Simcoe,Lake,NAD27,17,4919287,632689,442500,792000,44.42,-79.33,,16,SR,72500.00,5.00,17,41.5,12.24,208,2022.133,,,,
17-5243-52488,2JD0735,Smoothwater,Lake,NAD27,17,5248800,524338,472339,804039,47.39,-80.68,,11,NER,869.90,11.40,31.4,88.4,1.8,,1643.47,,,,
17-5947-51034,2DD0606,Stormy,Lake,NAD27,17,5103417,594721,460447,794630,46.08,-79.78,,11,NER,333.40,4.60,10.7,28.4,2.7,.,1750.07,,,,
17-5134-52341,2DC0142,Stull,Lake,NAD27,17,5234070,513408,471543,804922,47.26,-80.82,35D,10,NER,256.90,5.00,7.5,34.3,3.5,.,1664.27,,,,
15-6600-55380,5QA0911,Sturgeon,Lake,NAD27,15,5537988,659999,495829,904607,49.97,-90.77,,4,NWR,21412.70,4.00,13.6,93,2.8,,1561.93,,,,
16-5000-53161,2A,Superior,Lake,NAD27,16,5316081,500000,480000,870000,48.00,-87.00,,9,GL,8241400.00,,148,358.4,,,1361.600,,,,
16-6500-60140,4ED1702,Sutton ,Lake,NAD27,16,6014000,649982,541514,844152,54.25,-84.70,,1,NER,3763.90,6.50,26.1,82,5.9,.,927.53,,,,
17-5700-52061,2DC0662,Temagami,Lake,NAD27,17,5206067,569979,470023,800446,47.01,-80.08,,11,NER,20971.70,10.70,18.2,110,2.66,48.7,1693.333,,,,
17-5889-52256,2JE1545,Thieving Bear,Lake,NAD27,17,5225555,588949,471046,794934,47.18,-79.83,,11,NER,114.80,4.60,7.4,29,5.4,.,1674.20,,,,
15-5241-55137,5QD0105,Thunder,Lake,NAD27,15,5513696,524080,494638,923956,49.78,-92.67,,5,NWR,1123.00,4.00,11.1,23.5,5,.,1641.27,,,,
15-6832-53585,5PA0705,Titmarsh,Lake,NAD27,15,5358463,683169,482117,903139,48.35,-90.53,,6,NWR,959.50,3.80,13.6,49.4,1.5,,1466.67,,,,
15-4784-56717,5QC0110,Trout-2,Lake,NAD27,15,5671738,478398,511155,931833,51.20,-93.31,,4,NWR,34806.90,5.80,13.7,47.3,3.3,,1528.400,,,,
17-5573-51927,2DC0117,Turtleshell,Lake,NAD27,17,5192657,557310,465313,801452,46.89,-80.25,,11,NER,161.10,6.50,12.5,42.7,2.9,,1706.20,,,,
17-5191-51772,ON24815,Wanapitei,Lake,NAD27,17,5177195,519095,464500,804500,46.75,-80.75,35D,10,NER,13207.30,5.80,38.99,141,.,.,1717.67,2,02D,02DA,
17-5000-51272,ON25592,White Oak,Lake,NAD27,17,5127162,500000,461800,810000,46.30,-81.00,,10,NER,,,,,,,1730.33,,,,
17-5128-52363,2DC0148,White Pine,Lake,NAD27,17,5236292,512794,471655,804951,47.28,-80.83,,10,NER,66.90,10.00,5.6,19,6,,1660.467,,,,
17-4664-51605,2CF1637,Windy,Lake,NAD27,17,5160498,466383,463557,812620,46.60,-81.44,35D,10,NER,1111.10,5.10,10.7,65.6,2.7,.,1709.27,2,02C,02CF,
15-4495-55118,5QD0231,Winnange,Lake,NAD27,15,5511840,449541,494532,934202,49.76,-93.70,,5,NWR,2631.50,8.50,27.2,115.2,0.5,.,1688.33,,,,
17-5279-51902,ON26110,Wolf,Lake,NAD27,17,5190194,527946,465200,803800,46.87,-80.63,,10,NER,,,,,,,1710.87,,,,
