"","Lake_Name","Trophic_Category","Taxonomic_ID_Code","d15N","d13C","d13C_Cor","SI_ID","Trophic_Group"
"91","Canoe_K","PFF","93",8.8336289263135,"-30.1067107836749",-30.275573206339,"CAN067","Cisco"
"92","Canoe_K","PFF","93",8.44770998757782,"-30.9251057539546",-31.0767959017834,"CAN068","Cisco"
"93","Canoe_K","PFF","93",8.54285002897235,"-30.1228056343913",-30.2051632851948,"CAN069","Cisco"
"94","Canoe_K","PFF","93",8.63693013656648,"-31.0022044366773",-30.7717799150331,"CAN070","Cisco"
"95","Canoe_K","PFF","93",8.97155812476036,"-31.5096288976772",-31.103377363515,"CAN071","Cisco"
"96","Canoe_K","PFF","93",8.36688332254183,"-30.6972128108492",-30.5669775486682,"CAN072","Cisco"
"97","Canoe_K","SNAIL","snail",3.28067914641047,"-22.6160300630764",-21.7991368385717,"CAN001","Snail"
"98","Canoe_K","SNAIL","snail",3.03571280316067,"-21.6459140569199",-20.4893728733484,"CAN002","Snail"
"99","Canoe_K","SNAIL","snail",2.31982719390081,"-21.083204829455",-19.8268703537658,"CAN003","Snail"
"100","Canoe_K","SNAIL","snail",2.31036857052938,"-21.6527149425556",-20.4115529494838,"CAN004","Snail"
"101","Canoe_K","SNAIL","snail",2.77265258490591,"-22.2552637329745",-21.0511971390996,"CAN005","Snail"
"102","Canoe_K","SNAIL","snail",2.45296721564841,"-21.962867142399",-21.0341666689387,"CAN006","Snail"
"103","Canoe_K","SNAIL","snail",2.78449035563658,"-23.0329140426129",-22.1939553098091,"CAN007","Snail"
"104","Canoe_K","SNAIL","snail",3.51002819705885,"-22.3936160395083",-21.228008236803,"CAN008","Snail"
"105","Canoe_K","SNAIL","snail",3.04095594599983,"-22.8511966259911",-21.7269966547608,"CAN009","Snail"
"106","Canoe_K","SNAIL","snail",2.8183051888227,"-21.8182187110374",-20.5667807685261,"CAN010","Snail"
"107","Canoe_K","SNAIL","snail",2.65528838268759,"-22.1645103727062",-21.0156703615261,"CAN011","Snail"
"108","Canoe_K","ZOOPS","zooplankton",2.65372557222294,"-35.2403776470398",-26.8865125688526,"CAN092","Zoops"
"109","Canoe_K","ZOOPS","zooplankton",3.03002324228075,"-35.1876088940186",-25.8931120867033,"CAN093","Zoops"
"110","Canoe_K","ZOOPS","zooplankton",3.52125306777633,"-35.2725489872157",-26.4241680711407,"CAN094","Zoops"
"111","Canoe_K","ZOOPS","zooplankton",2.65989589971702,"-35.3539279810588",-26.8887703876351,"CAN095","Zoops"
"112","Canoe_K","PRED","81",10.7023611342161,"-29.7356637764742",-29.850144718181,"CAN087","LakeTrout"
"113","Canoe_K","PRED","81",11.1423581437735,"-30.0343542234938",-30.0874492637224,"CAN090","LakeTrout"
"114","Canoe_K","PRED","81",10.3067269808564,"-30.0508366808429",-30.1520420302451,"CAN091","LakeTrout"
"115","Canoe_K","PRED","81",11.4595600247156,"-29.6639672511824",-29.7228015214866,"CAN077","LakeTrout"
"116","Canoe_K","PRED","81",10.4382622084686,"-31.0934537457318",-30.7815001490747,"CAN084","LakeTrout"
"117","Canoe_K","PRED","81",10.679979859325,"-30.3224912533171",-30.3596084790064,"CAN076","LakeTrout"
"118","Canoe_K","PRED","81",11.8708546103863,"-28.763000548584",-28.9583564761787,"CAN080","LakeTrout"
"119","Canoe_K","PRED","81",11.4502395061541,"-29.5935855656981",-29.6922461261926,"CAN086","LakeTrout"
"120","Canoe_K","PRED","81",11.8240692069678,"-28.8548409201811",-29.1027542382025,"CAN079","LakeTrout"
"121","Canoe_K","PRED","81",12.1770983309342,"-29.3918807307436",-29.3661590152629,"CAN078","LakeTrout"
"122","Canoe_K","PRED","81",12.6675709814564,"-29.0539787892651",-29.0550677778472,"CAN088","LakeTrout"
"123","Canoe_K","PRED","81",12.0784085237235,"-29.1024361219244",-29.1945420144784,"CAN081","LakeTrout"
"124","Canoe_K","PRED","81",12.2947657587158,"-29.2352693333189",-29.2819251560998,"CAN089","LakeTrout"
"125","Canoe_K","PRED","81",11.9708978108653,"-29.0178911524905",-28.9996532871707,"CAN083","LakeTrout"
"126","Canoe_K","PRED","81",12.331493593526,"-29.3992192999295",-29.2241507612449,"CAN082","LakeTrout"
"127","Canoe_K","PRED","81",11.7583755247064,"-30.3709643594724",-30.0472995765558,"CAN074","LakeTrout"
"128","Canoe_K","PRED","81",11.6955173613743,"-29.1128957736147",-29.3444220835508,"CAN073","LakeTrout"
"129","Canoe_K","PRED","81",12.5050705432559,"-31.1175725090728",-29.6406096907241,"CAN075","LakeTrout"
"130","Canoe_K","PRED","81",12.2313165684931,"-29.1004169677551",-29.4035483197999,"CAN085","LakeTrout"
"131","Eagle","INVERT","megaloptera",4.32859811600368,"-26.6139432136321",-25.7349363017818,"E073","Invert"
"132","Eagle","INVERT","mayfly",1.46675411448605,"-21.619265465232",-20.3531030906987,"E074","Invert"
"133","Eagle","INVERT","caddisfly",3.53887782382445,"-25.1526784836639",-23.2457623798365,"E075","Invert"
"134","Eagle","INVERT","dragonfly",4.20337445091234,"-26.6405457312586",-25.7945073190688,"E076","Invert"
"135","Eagle","INVERT","dragonfly",3.93750761133317,"-28.2885948385353",-27.2910017243235,"E077","Invert"
"136","Eagle","INVERT","dragonfly",3.52830160772254,"-28.8321734836816",-28.2343418409283,"E078","Invert"
"137","Eagle","INVERT","dragonfly",3.73851956721622,"-27.7918595954842",-27.2347889792044,"E079","Invert"
"138","Eagle","INVERT","predatory-water beetle",3.85570042854696,"-28.5023178605947",-27.6315909780977,"E083","Invert"
"139","Eagle","MUSSEL","mussel",4.43730364940559,"-29.1667545920065",-27.5000173541715,"E063","Mussel"
"140","Eagle","MUSSEL","mussel",4.12404963594232,"-29.2667824089637",-27.6296354083545,"E064","Mussel"
"141","Eagle","MUSSEL","mussel",4.64144130168657,"-29.3484818203248",-27.5292232416522,"E065","Mussel"
"142","Eagle","PFF","93",13.2339669763734,"-31.2192351821159",-30.8723681322279,"E084","Cisco"
"143","Eagle","PFF","93",12.909528217261,"-30.6161263801403",-30.6314486995022,"E085","Cisco"
"144","Eagle","PFF","93",12.0979277390644,"-30.7420180232711",-30.5555262896917,"E086","Cisco"
"145","Eagle","PFF","93",10.4847953643023,"-31.1899580558064",-31.0723543114495,"E087","Cisco"
"146","Eagle","PFF","93",10.604903554072,"-30.8200903600965",-30.7746507694768,"E088","Cisco"
"147","Eagle","PFF","93",10.6145087405706,"-31.0869701858114",-31.0165879790733,"E088","Cisco"
"148","Eagle","PFF","93",11.9011114701773,"-31.2582713505286",-31.023228981747,"E089","Cisco"
"149","Eagle","PFF","93",12.3447285881082,"-33.09309263233",-32.130887346728,"E090","Cisco"
"150","Eagle","PFF","93",12.3966818532596,"-31.235442959212",-30.9844042282191,"E091","Cisco"
